ID;X.15N_E;X.15N_M;X.15N_I;YEAR;Month;AGE_CLASS;relative;d1_E;d1_M;d1_I;d0;c;t3;t2;t1;d41;sampling date;birth_date;julian_date;method;sampled
P09;12.19;11.8;11.51;2019;1;c;F09;10.7;;;12.2;1.991417142;0.135239657;5.515716538;9.657135227;9.575957957;30.01.2019;29.01.2019;28.86476034;1.5;sampled_mc
P10;15.47;14.95;14.86;2019;1;c;F10;15.3;;;16.8;6.591417142;19.2619956;27.59028869;29.08416707;14.17595796;01.02.2019;12.01.2019;11.7380044;1.5;sampled_mc
P11;15.14;14.71;14.62;2019;3;c;F11;;;;;;;;;;14.03.2019;;;1.5;
P12;13.81;13.32;13.23;2019;3;c;F12;;;;;;;;;;14.03.2019;;;1.5;
P13;13.69;13.4;13.33;2019;3;c;F13;;;;;;;;;;14.03.2019;;;1.5;
P14;14.88;14.77;14.45;2019;3;c;F14;14.96;;;16.46;6.251417142;23.20330386;24.97379197;30.25735751;13.83595796;15.03.2019;19.02.2019;49.79669614;1.5;sampled_mc
P16;15.25;16.57;14.86;2019;3;c;F16;15.16;;;16.66;6.451417142;20.51100882;1.221955063;26.7672915;14.03595796;15.03.2019;22.02.2019;52.48899118;1.5;sampled_mc
P17;14.99;15.02;14.97;2019;3;c;F17;;;;;;;;;;15.03.2019;;;1.5;
P18;15.02;15;14.83;2019;3;c;F18;;;;;;;;;;18.03.2019;;;1.5;
P19;15.07;14.5;14.55;2019;3;c;F19;15.22;;;16.72;6.511417142;24.32734678;33.83798848;32.97699195;14.09595796;18.03.2019;21.02.2019;51.67265322;1.5;sampled_mc
P20;15.11;14.77;14.82;2019;3;c;F20;14.55;;;16.05;5.841417142;13.32988292;18.48706455;17.71646102;13.42595796;19.03.2019;05.03.2019;63.67011708;1.5;sampled_mc
P21;13.29;13.04;12.87;2019;3;c;F21;12.69;;;14.19;3.981417142;12.73563465;16.49237693;19.10666086;11.56595796;19.03.2019;06.03.2019;64.26436535;1.5;sampled_mc
P22;14.52;14.15;13.89;2019;3;c;F22;13.97;;;15.47;5.261417142;13.4788457;19.10666086;23.20330386;12.84595796;19.03.2019;05.03.2019;63.5211543;1.5;sampled_mc
p03;15.99;15.53;15.44;2019;1;c;f03;15.53;;;17.03;6.821417142;14.8267968;21.92979584;23.36332193;14.40595796;28.01.2019;13.01.2019;12.1732032;1.5;sampled_mc
P3;16.6;16.3;15.8;2018;2;c;F3;16.3;16.3;15.9;17.3;7.591417142;10.32636024;15;23.15935112;14.80447932;17.02.2018;06.02.2018;36.7;1;sampled_mc
P2;13.8;13.4;13.3;2018;2;c;F2;13.4;13.5;13.4;14.5;3.820558856;8.056785706;13.70177642;15.14985882;11.75492726;17.02.2018;08.02.2018;38.9;1;sampled_mc
P4;15.7;15.2;15;2018;2;c;F4;15;15.1;14.9;16.1;5.420558856;3.969601258;10.85041753;13.70177642;13.35492726;24.02.2018;20.02.2018;50;1;sampled_mc
P8;16;15.8;14.9;2018;2;c;F8;16.4;16.3;16.2;17.4;7.691417142;21.4884279;24.85075542;41.08572045;14.90447932;27.02.2018;05.02.2018;35.5;1;sampled_mc
P9;16.1;15.8;15.7;2018;2;c;F9;16.4;16.2;15.8;17.4;7.691417142;19.83749566;24.85075542;26.5631491;14.90447932;27.02.2018;07.02.2018;37.2;1;sampled_mc
P1;16;16;15.8;2018;2;c;FP1;16.3;16.5;16.8;17.8;3.237125713;13.38500503;13.38500503;15.56453803;14.05671899;10.02.2018;27.01.2018;26.6;1;pred_calves
P7;14.3;14.3;14.1;2018;2;c;FP7;14.3;14.1;14.3;15.3;5.591417142;15;15;18.20608171;12.80447932;27.02.2018;12.02.2018;42;1;pred_calves
P6;15.9;15.9;14.5;2018;2;c;FP6;16.2;16.3;16.7;17.7;3.137125713;13.38500503;13.38500503;29.41827655;13.95671899;24.02.2018;10.02.2018;40.6;1;pred_calves
P5;14.8;14.8;14.3;2018;2;c;FP5;14.9;14.8;15.1;16.1;4.44970057;13.93734168;13.93734168;20.76986604;13.10537519;24.02.2018;10.02.2018;40.1;1;pred_calves
C3;12.7;12.2;12.1;2011;2;c;FC3;11.8;11.2;11.3;12.8;3.091417142;1.428720215;8.803006124;10.32636024;10.30447932;21.02.2011;19.02.2011;49.6;1;pred_calves
C5;13;12.6;12.1;2011;2;c;FC5;12.2;11.8;11.8;13.2;3.491417142;2.872387689;8.803006124;16.59372993;10.70447932;23.02.2011;20.02.2011;50.1;1;pred_calves
C1;13.1;12.8;12.5;2011;2;c;FC1;12.5;12.1;12.1;13.5;3.791417142;5.805838809;10.32636024;15;11.00447932;21.02.2011;15.02.2011;45.2;1;pred_calves
